T5E40 000:006.294   SEGGER J-Link V7.96h Log File
T5E40 000:006.438   DLL Compiled: May 15 2024 15:33:59
T5E40 000:006.468   Logging started @ 2025-12-24 16:47
T5E40 000:006.502   Process: C:\Keil_v5\UV4\UV4.exe
T5E40 000:006.518 - 6.514ms
T5E40 000:006.534 JLINK_SetWarnOutHandler(...)
T5E40 000:006.544 - 0.013ms
T5E40 000:006.564 JLINK_OpenEx(...)
T5E40 000:010.901   Firmware: J-Link ARM-OB STM32 compiled Aug 22 2012 19:52:04
T5E40 000:014.092   Firmware: J-Link ARM-OB STM32 compiled Aug 22 2012 19:52:04
T5E40 000:019.146   Hardware: V7.00
T5E40 000:019.191   S/N: 4294967295
T5E40 000:019.206   OEM: SEGGER
T5E40 000:019.230   Feature(s): None
T5E40 000:020.293   Bootloader: (Could not read)
T5E40 000:023.139   TELNET listener socket opened on port 19021
T5E40 000:023.447   WEBSRV WEBSRV_Init(): Starting webserver thread(s)
T5E40 000:023.677   WEBSRV Webserver running on local port 19080
T5E40 000:023.770   Looking for J-Link GUI Server exe at: C:\Keil_v5\ARM\Segger\JLinkGUIServer.exe
T5E40 000:023.881   Looking for J-Link GUI Server exe at: C:\J-Link\JLinkGUIServer.exe
T5E40 000:329.090   Failed to connect to J-Link GUI Server.
T5E40 000:329.160 - 322.566ms returns "O.K."
T5E40 000:329.179 JLINK_GetEmuCaps()
T5E40 000:329.188 - 0.005ms returns 0x88EA5833
T5E40 000:329.204 JLINK_TIF_GetAvailable(...)
T5E40 000:329.970 - 0.767ms
T5E40 000:329.988 JLINK_SetErrorOutHandler(...)
T5E40 000:329.992 - 0.004ms
T5E40 000:330.016 JLINK_ExecCommand("ProjectFile = "C:\T1\eight_ir_oled\keil\JLinkSettings.ini"", ...). 
T5E40 000:450.417 - 120.402ms returns 0x00
T5E40 000:454.393 JLINK_ExecCommand("Device = MSPM0G3507", ...). 
T5E40 000:460.528   Device "MSPM0G3507" selected.
T5E40 000:460.829 - 6.413ms returns 0x00
T5E40 000:460.840 JLINK_ExecCommand("DisableConnectionTimeout", ...). 
T5E40 000:460.848 - 0.001ms returns 0x01
T5E40 000:460.854 JLINK_GetHardwareVersion()
T5E40 000:460.859 - 0.005ms returns 70000
T5E40 000:460.864 JLINK_GetDLLVersion()
T5E40 000:460.868 - 0.003ms returns 79608
T5E40 000:460.873 JLINK_GetOEMString(...)
T5E40 000:460.878 JLINK_GetFirmwareString(...)
T5E40 000:460.882 - 0.004ms
T5E40 000:471.748 JLINK_GetDLLVersion()
T5E40 000:471.777 - 0.028ms returns 79608
T5E40 000:471.783 JLINK_GetCompileDateTime()
T5E40 000:471.787 - 0.004ms
T5E40 000:475.196 JLINK_GetFirmwareString(...)
T5E40 000:475.215 - 0.018ms
T5E40 000:478.766 JLINK_GetHardwareVersion()
T5E40 000:478.783 - 0.017ms returns 70000
T5E40 000:482.412 JLINK_GetSN()
T5E40 000:482.434 - 0.021ms returns -1
T5E40 000:482.439 JLINK_GetOEMString(...)
T5E40 000:485.782 JLINK_TIF_Select(JLINKARM_TIF_JTAG)
T5E40 000:490.147 - 4.364ms returns 0x00
T5E40 000:490.169 JLINK_HasError()
T5E40 000:490.185 JLINK_SetSpeed(5000)
T5E40 000:491.068 - 0.886ms
T5E40 000:491.090 JLINK_GetIdData(pIdData)
T5E40 000:497.488   InitTarget() start
T5E40 001:190.787   Could not measure total IR len. TDO is constant high.
T5E40 001:201.727   Could not measure total IR len. TDO is constant high.
T5E40 001:214.190   Could not measure total IR len. TDO is constant high.
T5E40 001:223.768   Could not measure total IR len. TDO is constant high.
T5E40 001:233.652   Could not measure total IR len. TDO is constant high.
T5E40 001:244.552   Could not measure total IR len. TDO is constant high.
T5E40 001:255.382   Could not measure total IR len. TDO is constant high.
T5E40 001:264.959   Could not measure total IR len. TDO is constant high.
T5E40 001:275.258   Could not measure total IR len. TDO is constant high.
T5E40 001:284.870   Could not measure total IR len. TDO is constant high.
T5E40 001:295.397   Could not measure total IR len. TDO is constant high.
T5E40 001:306.078   Could not measure total IR len. TDO is constant high.
T5E40 001:316.192   Could not measure total IR len. TDO is constant high.
T5E40 001:365.089   Could not measure total IR len. TDO is constant high.
T5E40 001:375.445   Could not measure total IR len. TDO is constant high.
T5E40 001:385.001   Could not measure total IR len. TDO is constant high.
T5E40 001:394.804   Could not measure total IR len. TDO is constant high.
T5E40 001:404.755   Could not measure total IR len. TDO is constant high.
T5E40 001:412.790   Could not measure total IR len. TDO is constant high.
T5E40 001:422.078   Could not measure total IR len. TDO is constant high.
T5E40 001:431.838   Could not measure total IR len. TDO is constant high.
T5E40 001:441.627   Could not measure total IR len. TDO is constant high.
T5E40 001:450.162   Could not measure total IR len. TDO is constant high.
T5E40 001:460.012   Could not measure total IR len. TDO is constant high.
T5E40 001:470.875   Could not measure total IR len. TDO is constant high.
T5E40 001:480.819   Could not measure total IR len. TDO is constant high.
T5E40 001:490.577   Could not measure total IR len. TDO is constant high.
T5E40 001:500.654   Could not measure total IR len. TDO is constant high.
T5E40 001:509.995   Could not measure total IR len. TDO is constant high.
T5E40 001:520.336   Could not measure total IR len. TDO is constant high.
T5E40 001:529.870   Could not measure total IR len. TDO is constant high.
T5E40 001:539.795   Could not measure total IR len. TDO is constant high.
T5E40 001:549.588   Could not measure total IR len. TDO is constant high.
T5E40 001:558.766   Could not measure total IR len. TDO is constant high.
T5E40 001:568.235   Could not measure total IR len. TDO is constant high.
T5E40 001:578.165   Could not measure total IR len. TDO is constant high.
T5E40 001:587.628   Could not measure total IR len. TDO is constant high.
T5E40 001:597.603   Could not measure total IR len. TDO is constant high.
T5E40 001:607.839   Could not measure total IR len. TDO is constant high.
T5E40 001:617.390   Could not measure total IR len. TDO is constant high.
T5E40 001:627.225   Could not measure total IR len. TDO is constant high.
T5E40 001:637.523   Could not measure total IR len. TDO is constant high.
T5E40 001:647.071   Could not measure total IR len. TDO is constant high.
T5E40 001:656.946   Could not measure total IR len. TDO is constant high.
T5E40 001:667.185   Could not measure total IR len. TDO is constant high.
T5E40 001:676.768   Could not measure total IR len. TDO is constant high.
T5E40 001:686.838   Could not measure total IR len. TDO is constant high.
T5E40 001:698.552   Could not measure total IR len. TDO is constant high.
T5E40 001:708.432   Could not measure total IR len. TDO is constant high.
T5E40 001:718.106   Could not measure total IR len. TDO is constant high.
T5E40 001:728.168   Could not measure total IR len. TDO is constant high.
T5E40 001:737.393   Could not measure total IR len. TDO is constant high.
T5E40 001:745.933   Could not measure total IR len. TDO is constant high.
T5E40 001:754.784   Could not measure total IR len. TDO is constant high.
T5E40 001:764.793   Could not measure total IR len. TDO is constant high.
T5E40 001:774.844   Could not measure total IR len. TDO is constant high.
T5E40 001:784.008   Could not measure total IR len. TDO is constant high.
T5E40 001:793.623   Could not measure total IR len. TDO is constant high.
T5E40 001:803.437   Could not measure total IR len. TDO is constant high.
T5E40 001:813.974   Could not measure total IR len. TDO is constant high.
T5E40 001:823.950   Could not measure total IR len. TDO is constant high.
T5E40 001:833.221   Could not measure total IR len. TDO is constant high.
T5E40 001:843.425   Could not measure total IR len. TDO is constant high.
T5E40 001:853.581   Could not measure total IR len. TDO is constant high.
T5E40 001:862.703   Could not measure total IR len. TDO is constant high.
T5E40 001:872.725   Could not measure total IR len. TDO is constant high.
T5E40 001:882.763   Could not measure total IR len. TDO is constant high.
T5E40 001:899.392   Could not measure total IR len. TDO is constant high.
T5E40 001:909.424   Could not measure total IR len. TDO is constant high.
T5E40 001:920.495   Could not measure total IR len. TDO is constant high.
T5E40 001:931.236   Could not measure total IR len. TDO is constant high.
T5E40 001:941.370   Could not measure total IR len. TDO is constant high.
T5E40 001:951.410   Could not measure total IR len. TDO is constant high.
T5E40 001:962.363   Could not measure total IR len. TDO is constant high.
T5E40 001:973.548   Could not measure total IR len. TDO is constant high.
T5E40 001:983.599   Could not measure total IR len. TDO is constant high.
T5E40 001:994.234   Could not measure total IR len. TDO is constant high.
T5E40 002:004.377   Could not measure total IR len. TDO is constant high.
T5E40 002:014.046   Could not measure total IR len. TDO is constant high.
T5E40 002:023.559   Could not measure total IR len. TDO is constant high.
T5E40 002:033.926   Could not measure total IR len. TDO is constant high.
T5E40 002:043.806   Could not measure total IR len. TDO is constant high.
T5E40 002:053.870   Could not measure total IR len. TDO is constant high.
T5E40 002:063.496   Could not measure total IR len. TDO is constant high.
T5E40 002:073.877   Could not measure total IR len. TDO is constant high.
T5E40 002:083.512   Could not measure total IR len. TDO is constant high.
T5E40 002:093.209   Could not measure total IR len. TDO is constant high.
T5E40 002:103.853   Could not measure total IR len. TDO is constant high.
T5E40 002:113.931   Could not measure total IR len. TDO is constant high.
T5E40 002:123.525   Could not measure total IR len. TDO is constant high.
T5E40 002:133.480   Could not measure total IR len. TDO is constant high.
T5E40 002:142.819   Could not measure total IR len. TDO is constant high.
T5E40 002:152.335   Could not measure total IR len. TDO is constant high.
T5E40 002:162.195   Could not measure total IR len. TDO is constant high.
T5E40 002:173.096   Could not measure total IR len. TDO is constant high.
T5E40 002:182.957   Could not measure total IR len. TDO is constant high.
T5E40 002:192.017   Could not measure total IR len. TDO is constant high.
T5E40 002:202.681   Could not measure total IR len. TDO is constant high.
T5E40 002:212.486   Could not measure total IR len. TDO is constant high.
T5E40 002:221.963   Could not measure total IR len. TDO is constant high.
T5E40 002:231.716   Could not measure total IR len. TDO is constant high.
T5E40 002:241.378   Could not measure total IR len. TDO is constant high.
T5E40 002:250.919   Could not measure total IR len. TDO is constant high.
T5E40 002:260.230   Could not measure total IR len. TDO is constant high.
T5E40 002:269.495   Could not measure total IR len. TDO is constant high.
T5E40 002:280.391   Could not measure total IR len. TDO is constant high.
T5E40 002:289.766   Could not measure total IR len. TDO is constant high.
T5E40 002:299.735   Could not measure total IR len. TDO is constant high.
T5E40 002:310.454   Could not measure total IR len. TDO is constant high.
T5E40 002:320.312   Could not measure total IR len. TDO is constant high.
T5E40 002:329.600   Could not measure total IR len. TDO is constant high.
T5E40 002:340.360   Could not measure total IR len. TDO is constant high.
T5E40 002:349.670   Could not measure total IR len. TDO is constant high.
T5E40 002:359.399   Could not measure total IR len. TDO is constant high.
T5E40 002:369.651   Could not measure total IR len. TDO is constant high.
T5E40 002:379.236   Could not measure total IR len. TDO is constant high.
T5E40 002:389.288   Could not measure total IR len. TDO is constant high.
T5E40 002:399.289   Could not measure total IR len. TDO is constant high.
T5E40 002:408.644   Could not measure total IR len. TDO is constant high.
T5E40 002:417.870   Could not measure total IR len. TDO is constant high.
T5E40 002:427.327   Could not measure total IR len. TDO is constant high.
T5E40 002:437.228   Could not measure total IR len. TDO is constant high.
T5E40 002:447.790   Could not measure total IR len. TDO is constant high.
T5E40 002:458.383   Could not measure total IR len. TDO is constant high.
T5E40 002:468.128   Could not measure total IR len. TDO is constant high.
T5E40 002:477.890   Could not measure total IR len. TDO is constant high.
T5E40 002:487.640   Could not measure total IR len. TDO is constant high.
T5E40 002:498.104   Could not measure total IR len. TDO is constant high.
T5E40 002:508.447   Could not measure total IR len. TDO is constant high.
T5E40 002:517.404   Could not measure total IR len. TDO is constant high.
T5E40 002:527.070   Could not measure total IR len. TDO is constant high.
T5E40 002:537.094   Could not measure total IR len. TDO is constant high.
T5E40 002:546.256   Could not measure total IR len. TDO is constant high.
T5E40 002:555.911   Could not measure total IR len. TDO is constant high.
T5E40 002:565.778   Could not measure total IR len. TDO is constant high.
T5E40 002:576.299   Could not measure total IR len. TDO is constant high.
T5E40 002:584.808   Could not measure total IR len. TDO is constant high.
T5E40 002:594.912   Could not measure total IR len. TDO is constant high.
T5E40 002:604.464   Could not measure total IR len. TDO is constant high.
T5E40 002:614.426   Could not measure total IR len. TDO is constant high.
T5E40 002:623.425   Could not measure total IR len. TDO is constant high.
T5E40 002:633.605   Could not measure total IR len. TDO is constant high.
T5E40 002:643.704   Could not measure total IR len. TDO is constant high.
T5E40 002:653.105   Could not measure total IR len. TDO is constant high.
T5E40 002:662.848   Could not measure total IR len. TDO is constant high.
T5E40 002:673.602   Could not measure total IR len. TDO is constant high.
T5E40 002:683.447   Could not measure total IR len. TDO is constant high.
T5E40 002:692.799   Could not measure total IR len. TDO is constant high.
T5E40 002:701.921   Could not measure total IR len. TDO is constant high.
T5E40 002:711.856   Could not measure total IR len. TDO is constant high.
T5E40 002:722.788   Could not measure total IR len. TDO is constant high.
T5E40 002:733.148   Could not measure total IR len. TDO is constant high.
T5E40 002:743.622   Could not measure total IR len. TDO is constant high.
T5E40 002:753.524   Could not measure total IR len. TDO is constant high.
T5E40 002:763.560   Could not measure total IR len. TDO is constant high.
T5E40 002:772.930   Could not measure total IR len. TDO is constant high.
T5E40 002:782.734   Could not measure total IR len. TDO is constant high.
T5E40 002:792.448   Could not measure total IR len. TDO is constant high.
T5E40 002:802.793   Could not measure total IR len. TDO is constant high.
T5E40 002:812.686   Could not measure total IR len. TDO is constant high.
T5E40 002:821.933   Could not measure total IR len. TDO is constant high.
T5E40 002:831.481   Could not measure total IR len. TDO is constant high.
T5E40 002:841.917   Could not measure total IR len. TDO is constant high.
T5E40 002:851.277   Could not measure total IR len. TDO is constant high.
T5E40 002:861.480   Could not measure total IR len. TDO is constant high.
T5E40 002:871.946   Could not measure total IR len. TDO is constant high.
T5E40 002:881.929   Could not measure total IR len. TDO is constant high.
T5E40 002:892.824   Could not measure total IR len. TDO is constant high.
T5E40 002:903.429   Could not measure total IR len. TDO is constant high.
T5E40 002:913.737   Could not measure total IR len. TDO is constant high.
T5E40 002:923.955   Could not measure total IR len. TDO is constant high.
T5E40 002:934.931   Could not measure total IR len. TDO is constant high.
T5E40 002:945.389   Could not measure total IR len. TDO is constant high.
T5E40 002:954.481   Could not measure total IR len. TDO is constant high.
T5E40 002:963.918   Could not measure total IR len. TDO is constant high.
T5E40 002:974.740   Could not measure total IR len. TDO is constant high.
T5E40 002:985.563   Could not measure total IR len. TDO is constant high.
T5E40 002:995.370   Could not measure total IR len. TDO is constant high.
T5E40 003:006.117   Could not measure total IR len. TDO is constant high.
T5E40 003:016.101   Could not measure total IR len. TDO is constant high.
T5E40 003:025.558   Could not measure total IR len. TDO is constant high.
T5E40 003:036.058   Could not measure total IR len. TDO is constant high.
T5E40 003:045.699   Could not measure total IR len. TDO is constant high.
T5E40 003:055.934   Could not measure total IR len. TDO is constant high.
T5E40 003:065.709   Could not measure total IR len. TDO is constant high.
T5E40 003:075.915   Could not measure total IR len. TDO is constant high.
T5E40 003:085.436   Could not measure total IR len. TDO is constant high.
T5E40 003:095.623   Could not measure total IR len. TDO is constant high.
T5E40 003:106.108   Could not measure total IR len. TDO is constant high.
T5E40 003:115.962   Could not measure total IR len. TDO is constant high.
T5E40 003:125.991   Could not measure total IR len. TDO is constant high.
T5E40 003:136.836   Could not measure total IR len. TDO is constant high.
T5E40 003:147.012   Could not measure total IR len. TDO is constant high.
T5E40 003:158.163   Could not measure total IR len. TDO is constant high.
T5E40 003:167.864   Could not measure total IR len. TDO is constant high.
T5E40 003:178.462   Could not measure total IR len. TDO is constant high.
T5E40 003:188.250   Could not measure total IR len. TDO is constant high.
T5E40 003:197.384   Could not measure total IR len. TDO is constant high.
T5E40 003:207.552   Could not measure total IR len. TDO is constant high.
T5E40 003:219.439   Could not measure total IR len. TDO is constant high.
T5E40 003:228.851   Could not measure total IR len. TDO is constant high.
T5E40 003:239.420   Could not measure total IR len. TDO is constant high.
T5E40 003:251.214   Could not measure total IR len. TDO is constant high.
T5E40 003:262.621   Could not measure total IR len. TDO is constant high.
T5E40 003:273.225   Could not measure total IR len. TDO is constant high.
T5E40 003:283.231   Could not measure total IR len. TDO is constant high.
T5E40 003:293.884   Could not measure total IR len. TDO is constant high.
T5E40 003:303.439   Could not measure total IR len. TDO is constant high.
T5E40 003:312.753   Could not measure total IR len. TDO is constant high.
T5E40 003:322.213   Could not measure total IR len. TDO is constant high.
T5E40 003:331.839   Could not measure total IR len. TDO is constant high.
T5E40 003:342.407   Could not measure total IR len. TDO is constant high.
T5E40 003:353.164   Could not measure total IR len. TDO is constant high.
T5E40 003:361.896   Could not measure total IR len. TDO is constant high.
T5E40 003:372.136   Could not measure total IR len. TDO is constant high.
T5E40 003:382.488   Could not measure total IR len. TDO is constant high.
T5E40 003:392.585   Could not measure total IR len. TDO is constant high.
T5E40 003:401.919   Could not measure total IR len. TDO is constant high.
T5E40 003:411.776   Could not measure total IR len. TDO is constant high.
T5E40 003:455.825   Could not measure total IR len. TDO is constant high.
T5E40 003:466.588   Could not measure total IR len. TDO is constant high.
T5E40 003:477.190   Could not measure total IR len. TDO is constant high.
T5E40 003:487.402   Could not measure total IR len. TDO is constant high.
T5E40 003:498.288   Could not measure total IR len. TDO is constant high.
T5E40 003:508.122   Could not measure total IR len. TDO is constant high.
T5E40 003:518.507   Could not measure total IR len. TDO is constant high.
T5E40 003:528.214   Could not measure total IR len. TDO is constant high.
T5E40 003:538.789   Could not measure total IR len. TDO is constant high.
T5E40 003:548.895   Could not measure total IR len. TDO is constant high.
T5E40 003:559.234   Could not measure total IR len. TDO is constant high.
T5E40 003:569.562   Could not measure total IR len. TDO is constant high.
T5E40 003:579.255   Could not measure total IR len. TDO is constant high.
T5E40 003:588.575   Could not measure total IR len. TDO is constant high.
T5E40 003:599.535   Could not measure total IR len. TDO is constant high.
T5E40 003:610.084   Could not measure total IR len. TDO is constant high.
T5E40 003:623.171   Could not measure total IR len. TDO is constant high.
T5E40 003:648.524   Could not measure total IR len. TDO is constant high.
T5E40 003:673.632   Could not measure total IR len. TDO is constant high.
T5E40 003:682.950   Could not measure total IR len. TDO is constant high.
T5E40 003:693.156   Could not measure total IR len. TDO is constant high.
T5E40 003:703.388   Could not measure total IR len. TDO is constant high.
T5E40 003:712.372   Could not measure total IR len. TDO is constant high.
T5E40 003:721.436   Could not measure total IR len. TDO is constant high.
T5E40 003:731.200   Could not measure total IR len. TDO is constant high.
T5E40 003:741.353   Could not measure total IR len. TDO is constant high.
T5E40 003:751.926   Could not measure total IR len. TDO is constant high.
T5E40 003:761.769   Could not measure total IR len. TDO is constant high.
T5E40 003:772.698   Could not measure total IR len. TDO is constant high.
T5E40 003:783.424   Could not measure total IR len. TDO is constant high.
T5E40 003:793.252   Could not measure total IR len. TDO is constant high.
T5E40 003:799.261   Error: Failed to initialized DAP.
T5E40 003:807.416   Could not measure total IR len. TDO is constant high.
T5E40 003:817.688   Could not measure total IR len. TDO is constant high.
T5E40 003:828.198   Could not measure total IR len. TDO is constant high.
T5E40 003:877.824   Could not measure total IR len. TDO is constant high.
T5E40 003:888.257   Could not measure total IR len. TDO is constant high.
T5E40 003:898.754   Could not measure total IR len. TDO is constant high.
T5E40 003:910.069   Could not measure total IR len. TDO is constant high.
T5E40 003:923.056   Could not measure total IR len. TDO is constant high.
T5E40 003:933.436   Could not measure total IR len. TDO is constant high.
T5E40 003:943.668   Could not measure total IR len. TDO is constant high.
T5E40 003:953.279   Could not measure total IR len. TDO is constant high.
T5E40 003:963.323   Could not measure total IR len. TDO is constant high.
T5E40 003:974.615   Could not measure total IR len. TDO is constant high.
T5E40 003:985.694   Could not measure total IR len. TDO is constant high.
T5E40 003:995.646   Could not measure total IR len. TDO is constant high.
T5E40 004:006.358   Could not measure total IR len. TDO is constant high.
T5E40 004:016.522   Could not measure total IR len. TDO is constant high.
T5E40 004:026.669   Could not measure total IR len. TDO is constant high.
T5E40 004:036.362   Could not measure total IR len. TDO is constant high.
T5E40 004:046.393   Could not measure total IR len. TDO is constant high.
T5E40 004:057.187   Could not measure total IR len. TDO is constant high.
T5E40 004:067.325   Could not measure total IR len. TDO is constant high.
T5E40 004:078.195   Could not measure total IR len. TDO is constant high.
T5E40 004:088.819   Could not measure total IR len. TDO is constant high.
T5E40 004:096.987   Could not measure total IR len. TDO is constant high.
T5E40 004:105.950   Could not measure total IR len. TDO is constant high.
T5E40 004:115.954   Could not measure total IR len. TDO is constant high.
T5E40 004:126.016   Could not measure total IR len. TDO is constant high.
T5E40 004:135.656   Could not measure total IR len. TDO is constant high.
T5E40 004:146.437   Could not measure total IR len. TDO is constant high.
T5E40 004:156.972   Could not measure total IR len. TDO is constant high.
T5E40 004:166.473   Could not measure total IR len. TDO is constant high.
T5E40 004:176.232   Could not measure total IR len. TDO is constant high.
T5E40 004:186.550   Could not measure total IR len. TDO is constant high.
T5E40 004:196.739   Could not measure total IR len. TDO is constant high.
T5E40 004:208.261   Could not measure total IR len. TDO is constant high.
T5E40 004:218.357   Could not measure total IR len. TDO is constant high.
T5E40 004:228.817   Could not measure total IR len. TDO is constant high.
T5E40 004:240.465   Could not measure total IR len. TDO is constant high.
T5E40 004:249.778   Could not measure total IR len. TDO is constant high.
T5E40 004:260.570   Could not measure total IR len. TDO is constant high.
T5E40 004:270.044   Could not measure total IR len. TDO is constant high.
T5E40 004:279.642   Could not measure total IR len. TDO is constant high.
T5E40 004:290.045   Could not measure total IR len. TDO is constant high.
T5E40 004:300.699   Could not measure total IR len. TDO is constant high.
T5E40 004:311.078   Could not measure total IR len. TDO is constant high.
